Site ID,Location,Number of private cycles,Number of cycle hire bikes,Total cycles,Easting,Northing,lat,lng,geometry,LSOA11CD,LSOA11NM,accounting,airport,amusement park,aquarium,art gallery,atm,bakery,bank,bar,beauty salon,bicycle store,book store,bowling alley,bus station,cafe,campground,car dealer,car rental,car repair,car wash,casino,cemetery,church,city hall,clothing store,convenience store,courthouse,dentist,department store,doctor,drugstore,electrician,electronics store,embassy,fire station,florist,funeral home,furniture store,gas station,gym,hair care,hardware store,hindu temple,home goods store,hospital,insurance agency,jewelry store,laundry,lawyer,library,light rail station,liquor store,local government office,locksmith,lodging,meal delivery,meal takeaway,mosque,movie rental,movie theater,moving company,museum,night club,painter,park,parking,pet store,pharmacy,physiotherapist,plumber,police,post office,primary school,real estate agency,restaurant,roofing contractor,rv park,school,secondary school,shoe store,shopping mall,spa,stadium,storage,store,subway station,supermarket,synagogue,taxi stand,tourist attraction,train station,transit station,travel agency,university,veterinary care,zoo,person,bicycle,car,motorcycle,bus,train,truck,traffic light,fire hydrant,stop sign,parking meter,bench,dog
INNCY215,Lauriston Road,389.5,11.5,401.0,535666.915,183990.6725,51.53852116,-0.045220028,POINT (-0.0452200280417316 51.53852115610268),E01001841,Hackney 022C,1,,,,,,,2,3,,,,,19,,,,,,,,,,2,,,,,,,,,,,,,,,,3,,,,,,,,2,,,,,,,,,,,,1,,2,0,,9,3,,,,,,,,,16,,,10,,,0,,,,,,14,,,,0,28,,1,,,1.0,,32.0,,,,1.0,,,,,,
INNCY216,Plumbers Row,115.0,11.5,126.5,534234.7726,181558.2887,51.51700511,-0.066783419,POINT (-0.0667834193800944 51.5170051106228),E01004325,Tower Hamlets 021D,50,,,,,,,16,30,,,,,40,,,,,,,,,,2,,,,,,,,,,,,,,,,14,,,,,,,,5,,,,,,,,,,,,3,,2,7,,10,19,,,,,,,,,60,,,39,,,6,,,,,,23,,,,6,38,,6,,,5.0,,17.0,,,,2.0,,,,,,
INNCY216,Plumbers Row,115.0,11.5,126.5,534234.7726,181558.2887,51.51700511,-0.066783419,POINT (-0.0667834193800944 51.5170051106228),E01004325,Tower Hamlets 021D,50,,,,,,,16,30,,,,,40,,,,,,,,,,2,,,,,,,,,,,,,,,,14,,,,,,,,5,,,,,,,,,,,,3,,2,7,,10,19,,,,,,,,,60,,,39,,,6,,,,,,23,,,,6,38,,6,,,5.0,,17.0,,,,2.0,,,,,,
INNCY217,Surrey Quays Road,58.5,0.0,58.5,535803.6593,179156.9161,51.49505122,-0.045110347,POINT (-0.0451103471534141 51.49505122411888),E01004031,Southwark 007B,8,,,,,,,5,4,,,,,36,,,,,,,,,,0,,,,,,,,,,,,,,,,5,,,,,,,,5,,,,,,,,,,,,1,,2,0,,6,8,,,,,,,,,29,,,9,,,1,,,,,,10,,,,5,40,,0,,,9.0,14.0,8.0,,2.0,,,2.0,,,,,
INNCY218,Brixton Water Lane,315.5,2.0,317.5,530859.9289,174630.9117,51.45554252,-0.117958607,POINT (-0.1179586074668399 51.45554251812863),E01003176,Lambeth 016E,9,,,,,,,7,17,,,,,29,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,,,,,6,,,,,,,,,,,,1,,2,2,,5,9,,,,,,,,,33,,,6,,,1,,,,,,10,,,,0,36,,0,,,8.0,,9.0,,,,,,,,,,
INNCY219,Peckham Rye,885.0,0.0,885.0,534610.7969,175437.6208,51.46191334,-0.06369925,POINT (-0.0636992499987853 51.46191333865512),E01004015,Southwark 028C,8,,,,,,,2,11,,,,,31,,,,,,,,,,0,,,,,,,,,,,,,,,,4,,,,,,,,1,,,,,,,,,,,,0,,1,1,,5,2,,,,,,,,,29,,,9,,,0,,,,,,7,,,,0,37,,0,,,,,13.0,,,,1.0,,,,,,
INNCY220,Wickham Road,211.0,0.0,211.0,537036.3949,176326.4063,51.46931862,-0.028461109,POINT (-0.0284611090186793 51.46931861603365),E01003210,Lewisham 005C,7,,,,,,,5,14,,,,,35,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,5,,,,,,,,,,,,1,,0,3,,2,4,,,,,,,,,39,,,8,,,0,,,,,,18,,,,5,40,,1,,,,,31.0,,,,1.0,,,,,,
INNCY221,Sydenham Hill,110.5,0.0,110.5,534063.2836,172109.4334,51.43213457,-0.072835483,POINT (-0.0728354830092256 51.43213456899684),E01003945,Southwark 033A,1,,,,,,,0,1,,,,,30,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,0,,1,0,,1,2,,,,,,,,,0,,,7,,,0,,,,,,2,,,,1,20,,0,,,,,10.0,,,,,,,,,,
INNCY222,Gipsy Road,98.5,0.5,99.0,532959.3359,171502.2572,51.42693802,-0.088934373,POINT (-0.0889343731041277 51.42693802352203),E01003067,Lambeth 033C,4,,,,,,,0,4,,,,,30,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,0,,2,0,,3,7,,,,,,,,,9,,,17,,,0,,,,,,3,,,,2,31,,0,,,,,33.0,1.0,,,1.0,,,,,,
INNCY223,Blackshaw Road,254.5,0.0,254.5,527107.5522,170997.5117,51.42374333,-0.173238893,POINT (-0.173238892745137 51.423743331965206),E01004617,Wandsworth 034D,21,,,,,,,10,28,,,,,38,,,,,,,,,,0,,,,,,,,,,,,,,,,6,,,,,,,,3,,,,,,,,,,,,0,,0,1,,6,5,,,,,,,,,57,,,7,,,1,,,,,,14,,,,2,31,,2,,,,,27.0,,,,,,,,,,
