Site ID,Location,Total cycles,Easting,Northing,lat,lng,geometry,LSOA11CD,LSOA11NM,accounting,airport,amusement park,aquarium,art gallery,atm,bakery,bank,bar,beauty salon,bicycle store,book store,bowling alley,bus station,cafe,campground,car dealer,car rental,car repair,car wash,casino,cemetery,church,city hall,clothing store,convenience store,courthouse,dentist,department store,doctor,drugstore,electrician,electronics store,embassy,fire station,florist,funeral home,furniture store,gas station,gym,hair care,hardware store,hindu temple,home goods store,hospital,insurance agency,jewelry store,laundry,lawyer,library,light rail station,liquor store,local government office,locksmith,lodging,meal delivery,meal takeaway,mosque,movie rental,movie theater,moving company,museum,night club,painter,park,parking,pet store,pharmacy,physiotherapist,plumber,police,post office,primary school,real estate agency,restaurant,roofing contractor,rv park,school,secondary school,shoe store,shopping mall,spa,stadium,storage,store,subway station,supermarket,synagogue,taxi stand,tourist attraction,train station,transit station,travel agency,university,veterinary care,zoo,person,bicycle,car,motorcycle,bus,train,truck,traffic light,fire hydrant,stop sign,parking meter,bench,dog
OUTCY372,Grand Union Canal (Abbey Road),307.5,519658.5,183211.47,51.5351355,-0.276189117,POINT (-0.2761891168360335 51.53513549747526),E01000600,Brent 027E,13,,,,,,,1,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,0,1,,4,6,,,,,,,,,7,,,5,,,0,,,,,,2,,,,0,29,,0,,,,,,,,,,,,,,,
OUTCY373,Alexandra Park,86.0,530200.4807,190297.8871,51.59648731,-0.121659138,POINT (-0.1216591376036218 51.59648731069006),E01001964,Haringey 009B,11,,,,,,,0,5,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,4,,,,,,,,0,,,,,,,,,,,,,,0,1,,2,3,,,,,,,,,9,,,11,,,0,,,,,,3,,,,2,12,,0,,,,,2.0,,,1.0,1.0,,,,,,
OUTCY374,Harrow Weald Recreation Ground,2.5,514661.2202,190976.8027,51.60596334,-0.345674081,POINT (-0.3456740806984907 51.60596333585349),E01002140,Harrow 005A,6,,,,,,,0,2,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,2,,,,,,,,,,,,,,0,0,,0,1,,,,,,,,,9,,,9,,,0,,,,,,7,,,,0,28,,0,,,1.0,,9.0,,2.0,,,,,,,,
OUTCY375,North Way,8.5,506511.6122,184531.7976,51.54963371,-0.465260615,POINT (-0.4652606146573519 51.54963370727351),E01002512,Hillingdon 013C,4,,,,,,,2,3,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,0,0,,3,1,,,,,,,,,2,,,5,,,1,,,,,,1,,,,0,13,,0,,,,,11.0,,,,1.0,1.0,,,,,
OUTCY376,Belmont Trail,1.0,516497.1315,190552.8941,51.60177706,-0.319316161,POINT (-0.3193161611856666 51.60177705512333),E01002106,Harrow 008A,10,,,,,,,2,4,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,0,0,,1,1,,,,,,,,,6,,,6,,,0,,,,,,3,,,,0,20,,0,,,,,,,,,,,,,,,
OUTCY377,Hilly Fields Park,11.0,532298.6509,198323.8097,51.66812193,-0.088355328,POINT (-0.0883553276139915 51.66812193055435),E01001413,Enfield 004D,4,,,,,,,2,2,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,0,0,,2,0,,,,,,,,,3,,,9,,,0,,,,,,5,,,,1,16,,0,,,,,,,,,,,,,,,
OUTCY378,Grand Union Canal (Alperton),263.0,517688.691,183655.509,51.53953995,-0.30442751,POINT (-0.3044275102684969 51.5395399497985),E01000475,Brent 029C,15,,,,,,,3,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,3,,,,,,,,2,,,,,,,,,,,,,,0,1,,1,1,,,,,,,,,20,,,6,,,3,,,,,,7,,,,1,29,,0,,,8.0,,32.0,,,,3.0,,,,,,
OUTCY378,Grand Union Canal (Alperton),263.0,517688.691,183655.509,51.53953995,-0.30442751,POINT (-0.3044275102684969 51.5395399497985),E01000475,Brent 029C,15,,,,,,,3,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,3,,,,,,,,2,,,,,,,,,,,,,,0,1,,1,1,,,,,,,,,20,,,6,,,3,,,,,,7,,,,1,29,,0,,,8.0,,32.0,,,,3.0,,,,,,
OUTCY379,Summerhouse Lane,2.5,504212.2872,191773.4547,51.61515236,-0.496262624,POINT (-0.4962626240889688 51.61515235619248),E01002438,Hillingdon 003A,0,,,,,,,0,2,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,0,0,,1,1,,,,,,,,,1,,,0,,,0,,,,,,0,,,,0,0,,0,,,1.0,,3.0,,,,1.0,,,,,,
OUTCY380,Tokyngton Recreation Ground,56.5,520031.8798,184756.2433,51.54893965,-0.270282126,POINT (-0.2702821262717222 51.54893965376143),E01000619,Brent 017E,6,,,,,,,0,5,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,0,2,,7,5,,,,,,,,,9,,,4,,,0,,,,,,7,,,,3,35,,0,,,1.0,,,,,,,,,,,,
OUTCY381,Widewater Lock,37.5,504966.9165,188723.2278,51.58759636,-0.486279481,POINT (-0.4862794808543146 51.58759636210547),E01002442,Hillingdon 003E,0,,,,,,,1,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,0,0,,1,0,,,,,,,,,0,,,0,,,0,,,,,,1,,,,0,9,,0,,,,,11.0,,,,1.0,,,,,,
OUTCY382,Newton Farm Ecology Park,3.0,513467.8218,186874.1671,51.56933173,-0.364224126,POINT (-0.3642241260312793 51.56933173238967),E01002211,Harrow 028A,18,,,,,,,3,4,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,3,,,,,,,,,,,,,,0,0,,3,1,,,,,,,,,27,,,5,,,0,,,,,,10,,,,1,26,,0,,,,,7.0,,,,,,,,,,
OUTCY383,Dollis Brook Walk,22.5,524181.413,195225.3866,51.64212794,-0.206766259,POINT (-0.2067662591180976 51.64212793619401),E01000291,Barnet 004E,2,,,,,,,0,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,1,,,,,,,,,,,,,,0,0,,0,0,,,,,,,,,1,,,3,,,0,,,,,,1,,,,0,12,,0,,,,,15.0,,,,,,,,,,
OUTCY384,Rectory Park,53.0,512537.614,183188.3121,51.53639032,-0.378817932,POINT (-0.3788179320370712 51.5363903186481),E01001330,Ealing 008D,3,,,,,,,3,2,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,1,,4,1,,,,,,,,,5,,,3,,,0,,,,,,10,,,,0,18,,0,,,1.0,,43.0,,,,1.0,,,,,,
OUTCY385,Perivale Park,35.5,514713.7082,182314.9122,51.52810294,-0.347740978,POINT (-0.3477409782937422 51.528102938453344),E01001260,Ealing 012B,4,,,,,,,5,3,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,3,,,,,,,,,,,,,,0,0,,6,1,,,,,,,,,24,,,10,,,0,,,,,,12,,,,0,35,,0,,,,,26.0,,,,2.0,,,,,,
OUTCY386,Jim O'Neill Walk,7.0,510674.0241,186148.9547,51.56336833,-0.404745546,POINT (-0.4047455455796178 51.56336833161187),E01002466,Hillingdon 010B,2,,,,,,,0,4,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,4,,,,,,,,0,,,,,,,,,,,,,,0,0,,2,3,,,,,,,,,9,,,3,,,1,,,,,,5,,,,1,17,,0,,,,,20.0,,,,,,1.0,,,1.0,
OUTCY387,Park Road,46.0,540993.678,187133.3529,51.56545625,0.03279387,POINT (0.0327938699690829 51.56545624830753),E01003793,Redbridge 027D,2,,,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,0,0,,3,1,,,,,,,,,0,,,3,,,0,,,,,,0,,,,0,17,,0,,,1.0,,47.0,,,,1.0,,,,,,
OUTCY388,Organ Lane,17.0,538281.8444,193764.2048,51.62571106,-0.003694306,POINT (-0.0036943062059001 51.62571105855359),E01004360,Waltham Forest 004B,5,,,,,,,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,1,,,,,,,,,,,,,,0,0,,1,4,,,,,,,,,11,,,8,,,0,,,,,,3,,,,0,20,,0,,,1.0,,7.0,,,,,,,,,,
OUTCY389,Raphael Park,20.0,551961.687,189571.8049,51.58451895,0.191968874,POINT (0.1919688742879955 51.58451895071981),E01002337,Havering 012A,5,,,,,,,1,6,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,0,0,,6,9,,,,,,,,,17,,,9,,,5,,,,,,7,,,,0,15,,0,,,,,7.0,,,,,,,,,,
OUTCY390,River Lee Ponders End,162.5,536397.6088,195395.4679,51.64082895,-0.030262693,POINT (-0.0302626933272452 51.64082895265071),E01001506,Enfield 014B,1,,,,,,,0,2,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,0,0,,0,2,,,,,,,,,1,,,2,,,0,,,,,,0,,,,1,14,,0,,,,,31.0,,,,,,,,,,
OUTCY391,Greenway (Manor Road),764.0,539342.506,183145.295,51.53003015,0.007409317,POINT (0.00740931738507 51.530030148002446),E01003631,Newham 020A,4,,,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,0,0,,4,1,,,,,,,,,6,,,6,,,2,,,,,,6,,,,5,20,,0,,,,,31.0,,,,,,,,,,
OUTCY391,Greenway (Manor Road),764.0,539342.506,183145.295,51.53003015,0.007409317,POINT (0.00740931738507 51.530030148002446),E01003631,Newham 020A,4,,,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,0,0,,4,1,,,,,,,,,6,,,6,,,2,,,,,,6,,,,5,20,,0,,,,,31.0,,,,,,,,,,
OUTCY392,Parsloes Park,53.0,548180.2134,185293.2496,51.54708182,0.135627362,POINT (0.1356273615300044 51.54708181550959),E01000079,Barking and Dagenham 009E,6,,,,,,,0,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,1,,,,,,,,,,,,,,0,0,,3,2,,,,,,,,,6,,,9,,,0,,,,,,6,,,,1,13,,0,,,,,,,,,,,,,,,
OUTCY393,Ferry Lane towpath,261.0,534712.6481,189423.6673,51.58757146,-0.056890801,POINT (-0.0568908013567077 51.58757145650463),E01002078,Haringey 015C,12,,,,,,,0,2,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,2,2,,3,2,,,,,,,,,5,,,6,,,1,,,,,,5,,,,1,16,,0,,,2.0,,10.0,,,,,,,,,,
OUTCY394,Dagnam Park,38.0,555087.1258,192859.1539,51.61320327,0.238495874,POINT (0.2384958743048793 51.61320327021441),E01002276,Havering 001A,0,,,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,0,0,,2,0,,,,,,,,,1,,,5,,,0,,,,,,0,,,,0,14,,0,,,,,,,,,,,,,,,
