Location,Number of private cycles,Number of cycle hire bikes,Total cycles,lat,lng,geometry,LSOA11CD,LSOA11NM,accounting,airport,amusement park,aquarium,art gallery,atm,bakery,bank,bar,beauty salon,bicycle store,book store,bowling alley,bus station,cafe,campground,car dealer,car rental,car repair,car wash,casino,cemetery,church,city hall,clothing store,convenience store,courthouse,dentist,department store,doctor,drugstore,electrician,electronics store,embassy,fire station,florist,funeral home,furniture store,gas station,gym,hair care,hardware store,hindu temple,home goods store,hospital,insurance agency,jewelry store,laundry,lawyer,library,light rail station,liquor store,local government office,locksmith,lodging,meal delivery,meal takeaway,mosque,movie rental,movie theater,moving company,museum,night club,painter,park,parking,pet store,pharmacy,physiotherapist,plumber,police,post office,primary school,real estate agency,restaurant,roofing contractor,rv park,school,secondary school,shoe store,shopping mall,spa,stadium,storage,store,subway station,supermarket,synagogue,taxi stand,tourist attraction,train station,transit station,travel agency,university,veterinary care,zoo,person,bicycle,car,motorcycle,bus,train,truck,traffic light,fire hydrant,stop sign,parking meter,bench,dog
Poland Street,187.375,22.625,210.0,51.5146718,-0.1370893,POINT (-0.1370893 51.5146718),E01033595,Westminster 013E,60,2,1,1,60,14,28,47,60,,,,,28,,,,,,,,,,0,,,,,,,,,,11,,,,,,24,,,,,0,,,6,,,,,,,,,,,,26,,10,49,,9,36,,,,,2,,,,60,,,19,,,12,,1,,,6,18,,,,4,32,,11,,0,12.0,,6.0,,,,,,1.0,,,,
Portland Place,662.0,69.25,731.25,51.5203055,-0.1449157,POINT (-0.1449157 51.5203055),E01004713,Westminster 011A,56,0,0,1,37,10,12,25,39,,,,,18,,,,,,,,,,0,,,,,,,,,,12,,,,,,0,,,,,6,,,5,,,,,,,,,,,,3,,8,11,,16,29,,,,,2,,,,60,,,28,,,5,,1,,,10,15,,,,3,20,,11,,0,10.0,,47.0,,,,2.0,,,,,,
Prince's Street,1926.875,132.125,2059.0,51.5157538,-0.1430716,POINT (-0.1430716 51.5157538),E01033595,Westminster 013E,60,1,1,1,60,11,13,35,58,,,,,16,,,,,,,,,,0,,,,,,,,,,14,,,,,,23,,,,,3,,,6,,,,,,,,,,,,6,,9,31,,13,33,,,,,2,,,,60,,,31,,,11,,2,,,5,14,,,,3,19,,12,,0,31.0,,,,,,,1.0,,,,1.0,
Princess Street,762.375,54.5,816.875,51.495819,-0.102355,POINT (-0.102355 51.495819),E01003932,Southwark 034B,14,0,1,0,13,11,5,4,8,,,,,35,,,,,,,,,,2,,,,,,,,,,0,,,,,,9,,,,,0,,,6,,,,,,,,,,,,0,,3,2,,15,12,,,,,3,,,,46,,,27,,,3,,0,,,4,18,,,,3,38,,4,,0,31.0,,,,,,,1.0,,,,1.0,
Princeton Street,113.25,21.25,134.5,51.5197575,-0.1169623,POINT (-0.1169623 51.5197575),E01000914,Camden 028B,53,1,0,1,19,18,15,17,32,,,,,38,,,,,,,,,,2,,,,,,,,,,5,,,,,,12,,,,,4,,,7,,,,,,,,,,,,5,,9,7,,11,30,,,,,2,,,,60,,,27,,,13,,0,,,5,14,,,,2,37,,9,,0,1.0,,19.0,,,,3.0,,,,,,
Regent Square,1600.25,207.5,1807.75,51.5267044,-0.121173,POINT (-0.121173 51.5267044),E01000937,Camden 025B,24,1,1,0,13,11,5,10,19,,,,,33,,,,,,,,,,2,,,,,,,,,,2,,,,,,5,,,,,7,,,8,,,,,,,,,,,,3,,6,2,,9,21,,,,,3,,,,60,,,16,,,3,,0,,,4,14,,,,6,38,,8,,0,,,19.0,,,,,7.0,,,,,
Regent Street,716.875,70.5625,787.4375,51.5131276,-0.1405909,POINT (-0.1405909 51.5131276),E01033596,Westminster 013F,60,1,1,1,60,12,20,50,60,,,,,16,,,,,,,,,,1,,,,,,,,,,15,,,,,,24,,,,,1,,,5,,,,,,,,,,,,16,,10,51,,14,37,,,,,2,,,,60,,,17,,,13,,2,,,6,17,,,,3,28,,10,,0,23.0,,8.0,,1.0,,,1.0,,,,,
Riverside Walk(Albert Embankment),74.875,27.5,102.375,51.4950191,-0.1212503,POINT (-0.1212503 51.4950191),0,0,5,1,0,1,11,7,3,3,12,,,,,29,,,,,,,,,,0,,,,,,,,,,4,,,,,,7,,,,,2,,,2,,,,,,,,,,,,0,,6,1,,6,17,,,,,6,,,,32,,,15,,,0,,0,,,2,12,,,,1,38,,1,,0,3.0,,4.0,,,,,,,1.0,,,
Rosebery Avenue (north),1570.125,48.5,1618.625,51.5262828,-0.1094047,POINT (-0.1094047 51.5262828),E01002726,Islington 022F,31,2,0,0,16,11,7,7,17,,,,,40,,,,,,,,,,5,,,,,,,,,,2,,,,,,10,,,,,1,,,6,,,,,,,,,,,,0,,6,5,,10,25,,,,,1,,,,58,,,26,,,3,,0,,,5,11,,,,4,49,,5,,0,,,10.0,,,,1.0,,,,,,
Roupelle Street,119.5,42.75,162.25,51.5047017,-0.108241,POINT (-0.108241 51.5047017),E01003017,Lambeth 036D,8,1,0,0,15,9,9,6,31,,,,,40,,,,,,,,,,0,,,,,,,,,,0,,,,,,12,,,,,2,,,4,,,,,,,,,,,,6,,3,2,,4,16,,,,,0,,,,60,,,13,,,2,,0,,,6,17,,,,6,39,,3,,0,4.0,,13.0,,,,,,,,,,
