Location,Number of private cycles,Number of cycle hire bikes,Total cycles,lat,lng,geometry,LSOA11CD,LSOA11NM,accounting,airport,amusement park,aquarium,art gallery,atm,bakery,bank,bar,beauty salon,bicycle store,book store,bowling alley,bus station,cafe,campground,car dealer,car rental,car repair,car wash,casino,cemetery,church,city hall,clothing store,convenience store,courthouse,dentist,department store,doctor,drugstore,electrician,electronics store,embassy,fire station,florist,funeral home,furniture store,gas station,gym,hair care,hardware store,hindu temple,home goods store,hospital,insurance agency,jewelry store,laundry,lawyer,library,light rail station,liquor store,local government office,locksmith,lodging,meal delivery,meal takeaway,mosque,movie rental,movie theater,moving company,museum,night club,painter,park,parking,pet store,pharmacy,physiotherapist,plumber,police,post office,primary school,real estate agency,restaurant,roofing contractor,rv park,school,secondary school,shoe store,shopping mall,spa,stadium,storage,store,subway station,supermarket,synagogue,taxi stand,tourist attraction,train station,transit station,travel agency,university,veterinary care,zoo,person,bicycle,car,motorcycle,bus,train,truck,traffic light,fire hydrant,stop sign,parking meter,bench,dog
Albert Embankment (South of Salamanca Street),1470.375,162.25,1632.625,51.4903238,-0.1226315,POINT (-0.1226315 51.4903238),E01003109,Lambeth 003E,8,1,0,0,14,6,4,3,19,,,,,20,,,,,,,,,,0,,,,,,,,,,2,,,,,,9,,,,,0,,,4,,,,,,,,,,,,0,,3,9,,6,11,,,,,2,,,,32,,,15,,,0,,1,,,2,7,,,,4,37,,0,,0,1.0,,1.0,,,,1.0,,,,,,
Aldgate High Street,1592.75,159.75,1752.5,51.5140145,-0.0753219,POINT (-0.0753219 51.5140145),E01000005,City of London 001E,55,2,0,0,25,20,9,56,60,,,,,48,,,,,,,,,,14,,,,,,,,,,3,,,,,,26,,,,,1,,,4,,,,,,,,,,,,4,,5,10,,8,29,,,,,4,,,,60,,,20,,,11,,0,,,9,18,,,,7,49,,10,,0,14.0,1.0,16.0,,1.0,,,1.0,,,,,
Aldwych,1141.0,191.375,1332.375,51.5132258,-0.1173591,POINT (-0.1173591 51.5132258),E01004735,Westminster 018B,48,1,0,1,31,15,17,20,53,,,,,20,,,,,,,,,,3,,,,,,,,,,10,,,,,,15,,,,,0,,,2,,,,,,,,,,,,7,,11,10,,7,15,,,,,2,,,,60,,,20,,,13,,0,,,7,13,,,,6,32,,5,,0,21.0,,15.0,,4.0,,3.0,3.0,,,,,
Appold Street,764.125,84.75,848.875,51.5207216,-0.0818023,POINT (-0.0818023 51.5207216),E01032739,City of London 001F,60,3,0,0,49,23,10,56,60,,,,,53,,,,,,,,,,13,,,,,,,,,,2,,,,,,33,,,,,0,,,5,,,,,,,,,,,,6,,7,11,,3,31,,,,,4,,,,60,,,13,,,13,,0,,,9,22,,,,6,59,,6,,0,,3.0,5.0,,,,,3.0,,,,,
Arundel Street,203.75,41.25,245.0,51.5125289,-0.1143676,POINT (-0.1143676 51.5125289),E01004735,Westminster 018B,50,2,0,1,16,15,12,23,40,,,,,16,,,,,,,,,,4,,,,,,,,,,8,,,,,,12,,,,,0,,,2,,,,,,,,,,,,6,,11,10,,5,18,,,,,2,,,,60,,,17,,,7,,0,,,6,15,,,,3,29,,4,,0,16.0,,19.0,1.0,,,5.0,3.0,,,,,
Beech Street,1318.875,256.375,1575.25,51.5205484,-0.0948466,POINT (-0.0948466 51.5205484),E01000001,City of London 001A,40,1,0,0,11,23,4,50,36,,,,,30,,,,,,,,,,20,,,,,,,,,,1,,,,,,17,,,,,0,,,0,,,,,,,,,,,,4,,11,8,,9,26,,,,,2,,,,60,,,19,,,3,,0,,,9,21,,,,8,53,,3,,0,,,23.0,,,,,,,,,,
Belvedere Road,494.0,106.0,600.0,51.5036113,-0.1173103,POINT (-0.1173103 51.5036113),E01003013,Lambeth 036A,8,0,0,1,10,8,8,8,29,,,,,38,,,,,,,,,,0,,,,,,,,,,4,,,,,,7,,,,,2,,,2,,,,,,,,,,,,5,,2,2,,5,20,,,,,6,,,,60,,,11,,,5,,0,,,8,15,,,,8,37,,3,,0,2.0,1.0,6.0,,,,,,1.0,,,,
Berkeley Street,151.25,18.375,169.625,51.5082432,-0.1433151,POINT (-0.1433151 51.5082432),E01004761,Westminster 018D,53,2,1,0,60,7,9,32,52,,,,,16,,,,,,,,,,0,,,,,,,,,,14,,,,,,16,,,,,0,,,4,,,,,,,,,,,,6,,6,32,,18,26,,,,,1,,,,60,,,10,,,11,,0,,,6,10,,,,2,28,,5,,0,18.0,1.0,27.0,3.0,,,,,,1.0,,,
Bermonsey Street,537.5,33.125,570.625,51.5007926,-0.0818488,POINT (-0.0818488 51.5007926),E01032646,Southwark 003I,10,0,2,2,25,20,15,17,46,,,,,31,,,,,,,,,,12,,,,,,,,,,0,,,,,,11,,,,,1,,,5,,,,,,,,,,,,2,,7,1,,7,11,,,,,2,,,,60,,,11,,,2,,0,,,3,18,,,,1,50,,2,,0,14.0,,14.0,,,,2.0,,,,,,
Berners Street,139.5,19.5,159.0,51.5171297,-0.1366273,POINT (-0.1366273 51.5171297),E01004763,Westminster 013B,60,0,1,2,20,16,28,36,60,,,,,33,,,,,,,,,,0,,,,,,,,,,10,,,,,,23,,,,,0,,,7,,,,,,,,,,,,17,,9,32,,9,35,,,,,2,,,,60,,,29,,,9,,1,,,8,17,,,,5,38,,12,,0,6.0,,8.0,1.0,,,1.0,1.0,,,,,
Bevis Marks,386.25,58.25,444.5,51.5149159,-0.0790581,POINT (-0.0790581 51.5149159),E01032739,City of London 001F,0,2,0,0,20,19,13,60,60,,,,,49,,,,,,,,,,16,,,,,,,,,,2,,,,,,20,,,,,1,,,4,,,,,,,,,,,,5,,4,12,,6,25,,,,,4,,,,60,,,13,,,0,,0,,,13,20,,,,9,59,,10,,0,1.0,,6.0,,,,1.0,,,1.0,,,
Birdcage Walk,1147.625,204.375,1352.0,51.5008415,-0.1349012,POINT (-0.1349012 51.5008415),E01004731,Westminster 020A,11,2,0,0,14,10,6,14,19,,,,,28,,,,,,,,,,6,,,,,,,,,,13,,,,,,10,,,,,0,,,4,,,,,,,,,,,,3,,7,3,,13,17,,,,,5,,,,58,,,9,,,7,,0,,,5,14,,,,4,34,,1,,0,1.0,,2.0,,,,,,,,,1.0,
Bishopsgate,2316.25,201.0,2517.25,51.5167977,-0.0810585,POINT (-0.0810585 51.5167977),E01032739,City of London 001F,60,3,0,0,18,23,10,60,60,,,,,40,,,,,,,,,,16,,,,,,,,,,1,,,,,,33,,,,,0,,,2,,,,,,,,,,,,4,,5,15,,3,27,,,,,5,,,,60,,,14,,,15,,0,,,12,24,,,,13,59,,10,,0,28.0,,3.0,,1.0,,,3.0,,,,,
Black Prince Road (east of Gibson Street),582.625,73.375,656.0,51.4907778,-0.1165276,POINT (-0.1165276 51.4907778),E01003112,Lambeth 002E,0,1,0,0,12,7,5,2,17,,,,,19,,,,,,,,,,0,,,,,,,,,,0,,,,,,6,,,,,0,,,6,,,,,,,,,,,,0,,3,10,,7,11,,,,,3,,,,30,,,18,,,0,,0,,,1,8,,,,2,35,,0,,0,1.0,1.0,,,,,3.0,,,,,,
Blackfriars Bridge,4189.125,752.75,4941.875,51.5072178,-0.1275862,POINT (-0.1275862 51.5072178),E01004736,Westminster 018C,26,1,1,1,33,13,20,26,60,,,,,28,,,,,,,,,,0,,,,,,,,,,15,,,,,,13,,,,,0,,,1,,,,,,,,,,,,18,,7,17,,10,13,,,,,4,,,,60,,,15,,,9,,0,,,6,15,,,,5,34,,2,,0,,,,,,,,,,,,,
Blackfriars Road,1701.875,119.625,1821.5,51.5034713,-0.1045305,POINT (-0.1045305 51.5034713),E01032583,Southwark 034D,11,1,0,0,17,12,8,6,20,,,,,45,,,,,,,,,,1,,,,,,,,,,1,,,,,,15,,,,,0,,,6,,,,,,,,,,,,4,,1,2,,7,14,,,,,2,,,,60,,,18,,,2,,0,,,5,21,,,,7,50,,4,,0,23.0,,14.0,,,,3.0,2.0,,,,,
Blackfriars Road (Southwark station),2332.125,209.25,2541.375,51.503926,-0.1049685,POINT (-0.1049685 51.503926),E01032583,Southwark 034D,10,1,0,0,18,10,8,6,27,,,,,39,,,,,,,,,,1,,,,,,,,,,1,,,,,,15,,,,,0,,,6,,,,,,,,,,,,4,,1,3,,7,17,,,,,2,,,,0,,,15,,,2,,0,,,5,20,,,,6,50,,4,,0,31.0,,9.0,,,,1.0,2.0,,,,,
Bloomsbury Street,742.75,78.875,821.625,51.5179545,-0.1277289,POINT (-0.1277289 51.5179545),E01000855,Camden 028A,56,0,1,1,40,16,29,29,60,,,,,37,,,,,,,,,,1,,,,,,,,,,5,,,,,,17,,,,,7,,,8,,,,,,,,,,,,19,,14,18,,10,27,,,,,4,,,,60,,,18,,,13,,1,,,9,19,,,,5,39,,12,,0,17.0,,8.0,6.0,,,4.0,3.0,,,,,
Bloomsbury Way,1979.625,170.375,2150.0,51.5178991,-0.1236687,POINT (-0.1236687 51.5178991),E01000918,Camden 028C,49,0,1,1,31,16,20,19,56,,,,,38,,,,,,,,,,1,,,,,,,,,,6,,,,,,12,,,,,7,,,5,,,,,,,,,,,,17,,14,15,,10,19,,,,,3,,,,60,,,30,,,13,,1,,,7,14,,,,4,48,,10,,0,16.0,1.0,8.0,,,,,6.0,,,,,
Borough High Street,2322.875,121.5,2437.5,51.5034702,-0.0915216,POINT (-0.0915216 51.5034702),E01003929,Southwark 002B,14,0,1,2,20,17,16,14,39,,,,,34,,,,,,,,,,2,,,,,,,,,,1,,,,,,14,,,,,1,,,4,,,,,,,,,,,,1,,7,3,,8,16,,,,,2,,,,60,,,15,,,2,,0,,,4,19,,,,4,36,,2,,0,8.0,3.0,2.0,,,,,1.0,,,,,
Borough Road,671.875,80.5,752.375,51.499018,-0.1005983,POINT (-0.1005983 51.499018),E01003932,Southwark 034B,13,0,1,0,18,24,6,15,18,,,,,31,,,,,,,,,,1,,,,,,,,,,1,,,,,,15,,,,,0,,,5,,,,,,,,,,,,2,,4,2,,13,11,,,,,1,,,,60,,,19,,,3,,0,,,5,24,,,,6,37,,4,,0,6.0,,27.0,,,,,,,,,,
Bridge Street,2978.375,530.375,3508.75,51.5009772,-0.1250766,POINT (-0.1250766 51.5009772),E01004733,Westminster 020C,8,1,0,1,5,5,6,6,18,,,,,27,,,,,,,,,,1,,,,,,,,,,11,,,,,,3,,,,,2,,,1,,,,,,,,,,,,2,,7,1,,8,19,,,,,7,,,,51,,,8,,,4,,0,,,5,9,,,,2,18,,2,,0,,,15.0,,,,,,,,,,
Brook Street,327.5,71.625,399.125,51.5128587,-0.1473358,POINT (-0.1473358 51.5128587),E01004761,Westminster 018D,60,2,0,1,60,7,12,35,54,,,,,27,,,,,,,,,,1,,,,,,,,,,14,,,,,,20,,,,,0,,,5,,,,,,,,,,,,3,,9,20,,13,33,,,,,0,,,,60,,,14,,,12,,1,,,6,10,,,,2,34,,8,,0,,,,,,,,,,,,,
Brushfield Street,410.25,63.25,473.5,51.5190309,-0.0770432,POINT (-0.0770432 51.5190309),E01004307,Tower Hamlets 015B,55,3,0,0,53,22,10,57,60,,,,,49,,,,,,,,,,11,,,,,,,,,,2,,,,,,26,,,,,0,,,3,,,,,,,,,,,,6,,6,15,,8,29,,,,,4,,,,60,,,17,,,13,,0,,,9,23,,,,5,50,,10,,0,11.0,,,1.0,1.0,,,,,,,,
Buckingham Gate,387.25,70.375,457.625,51.4993659,-0.1390216,POINT (-0.1390216 51.4993659),E01004736,Westminster 018C,13,1,0,0,5,11,11,13,26,,,,,32,,,,,,,,,,6,,,,,,,,,,13,,,,,,7,,,,,0,,,4,,,,,,,,,,,,2,,3,1,,10,17,,,,,2,,,,60,,,15,,,7,,0,,,4,14,,,,3,50,,1,,0,7.0,,3.0,,,,,,,,,,
Buckingham Palace Road,1074.25,144.25,1218.5,51.494868,-0.1462267,POINT (-0.1462267 51.494868),E01004750,Westminster 023E,17,1,0,0,12,12,13,15,24,,,,,51,,,,,,,,,,5,,,,,,,,,,19,,,,,,11,,,,,0,,,10,,,,,,,,,,,,2,,2,1,,0,16,,,,,2,,,,60,,,18,,,9,,0,,,3,14,,,,4,55,,2,,0,10.0,,18.0,,2.0,,1.0,,,,,,
Bunhill Row,897.125,135.0,1032.125,51.5230794,-0.0898267,POINT (-0.0898267 51.5230794),E01002704,Islington 023D,57,2,0,0,26,19,5,32,54,,,,,37,,,,,,,,,,15,,,,,,,,,,3,,,,,,20,,,,,0,,,8,,,,,,,,,,,,5,,5,8,,9,28,,,,,8,,,,60,,,17,,,6,,0,,,7,16,,,,4,46,,3,,0,2.0,,3.0,,,,1.0,,,,,,
Calthorpe Street,936.5,68.375,1004.875,51.5253591,-0.1143613,POINT (-0.1143613 51.5253591),E01000936,Camden 024A,30,1,0,0,14,15,10,11,19,,,,,38,,,,,,,,,,3,,,,,,,,,,3,,,,,,8,,,,,4,,,7,,,,,,,,,,,,2,,5,4,,13,28,,,,,2,,,,60,,,19,,,5,,0,,,6,17,,,,8,48,,8,,0,3.0,1.0,5.0,,,,,1.0,,1.0,,,
Cannon Street,852.625,97.25,949.875,51.5119949,-0.091962,POINT (-0.091962 51.5119949),E01032739,City of London 001F,51,0,0,0,8,15,17,60,55,,,,,39,,,,,,,,,,39,,,,,,,,,,1,,,,,,24,,,,,0,,,0,,,,,,,,,,,,2,,7,5,,2,10,,,,,3,,,,60,,,5,,,8,,0,,,9,16,,,,6,57,,1,,0,5.0,,,,,,,3.0,,,,,
Carey Street,262.125,35.0,297.125,51.5148299,-0.1138242,POINT (-0.1138242 51.5148299),E01000914,Camden 028B,56,1,0,1,16,17,10,23,34,,,,,31,,,,,,,,,,5,,,,,,,,,,7,,,,,,12,,,,,1,,,3,,,,,,,,,,,,4,,11,9,,8,18,,,,,3,,,,60,,,19,,,7,,0,,,7,14,,,,0,35,,5,,0,,,5.0,1.0,,,,,,,,,
Carlisle Place,118.5,36.375,154.875,51.4954186,-0.1409337,POINT (-0.1409337 51.4954186),E01004748,Westminster 020E,17,1,0,0,7,14,16,15,27,,,,,51,,,,,,,,,,5,,,,,,,,,,14,,,,,,10,,,,,0,,,10,,,,,,,,,,,,2,,3,1,,6,26,,,,,4,,,,60,,,20,,,10,,0,,,5,18,,,,4,58,,2,,0,,,4.0,,,,,,,,,,
Carlisle Street,326.75,38.5,365.25,51.5149779,-0.1333939,POINT (-0.1333939 51.5149779),E01004763,Westminster 013B,60,1,1,3,60,21,30,49,60,,,,,19,,,,,,,,,,1,,,,,,,,,,11,,,,,,23,,,,,0,,,8,,,,,,,,,,,,27,,11,39,,10,36,,,,,3,,,,60,,,17,,,16,,1,,,6,0,,,,5,34,,10,,0,3.0,,11.0,,,,,7.0,,,,,
Central Street,426.875,57.375,484.25,51.5270957,-0.096799,POINT (-0.096799 51.5270957),E01002702,Islington 023B,45,2,0,0,19,15,5,8,19,,,,,40,,,,,,,,,,5,,,,,,,,,,2,,,,,,11,,,,,0,,,8,,,,,,,,,,,,1,,4,5,,9,24,,,,,3,,,,51,,,22,,,6,,0,,,3,22,,,,1,51,,2,,0,,,17.0,,,,1.0,,,,,,
Charing Cross Road,1034.8125,130.75,1165.5625,51.5127939,-0.1288519,POINT (-0.1288519 51.5127939),E01004734,Westminster 018A,60,1,1,2,54,19,37,38,60,,,,,48,,,,,,,,,,1,,,,,,,,,,14,,,,,,19,,,,,0,,,5,,,,,,,,,,,,29,,9,36,,9,32,,,,,5,,,,60,,,0,,,18,,0,,,6,27,,,,6,52,,4,,0,13.0,,4.0,,1.0,,3.0,2.0,1.0,,,,
Charterhouse Street,870.75,126.625,997.375,51.5190522,-0.1037222,POINT (-0.1037222 51.5190522),E01002724,Islington 022D,55,2,0,0,15,19,10,28,37,,,,,37,,,,,,,,,,14,,,,,,,,,,2,,,,,,13,,,,,0,,,6,,,,,,,,,,,,1,,10,8,,9,20,,,,,1,,,,60,,,15,,,5,,0,,,8,20,,,,5,54,,9,,0,,,2.0,,,,,,,,,,
Churchyard Row,985.25,55.625,1040.875,51.4928993,-0.1026195,POINT (-0.1026195 51.4928993),E01003933,Southwark 034C,14,0,1,0,10,12,5,7,8,,,,,36,,,,,,,,,,1,,,,,,,,,,0,,,,,,7,,,,,0,,,5,,,,,,,,,,,,0,,3,3,,12,10,,,,,3,,,,39,,,24,,,3,,0,,,4,18,,,,3,40,,4,,0,,,,,,,,,,,,,
City Road,1420.875,111.375,1532.25,51.5290552,-0.0947748,POINT (-0.0947748 51.5290552),E01001779,Hackney 026A,54,3,0,0,17,14,6,9,15,,,,,36,,,,,,,,,,2,,,,,,,,,,1,,,,,,11,,,,,0,,,10,,,,,,,,,,,,1,,4,7,,8,20,,,,,3,,,,38,,,20,,,7,,0,,,2,18,,,,1,48,,2,,0,1.0,,7.0,1.0,1.0,,1.0,,,,,,
Claremont Square,1991.0,62.625,2053.625,51.5312201,-0.1103429,POINT (-0.1103429 51.5312201),E01002728,Islington 021D,15,0,1,0,13,10,7,0,20,,,,,35,,,,,,,,,,3,,,,,,,,,,2,,,,,,10,,,,,1,,,7,,,,,,,,,,,,3,,3,5,,6,18,,,,,2,,,,60,,,20,,,1,,0,,,2,16,,,,1,51,,4,,0,,,13.0,,,,,,,,,,
Clerkenwell Road (East),2577.25,287.5,2864.75,51.5222968,-0.1057193,POINT (-0.1057193 51.5222968),E01002724,Islington 022D,44,2,0,0,13,18,10,14,31,,,,,47,,,,,,,,,,12,,,,,,,,,,3,,,,,,10,,,,,2,,,7,,,,,,,,,,,,0,,11,7,,10,24,,,,,0,,,,60,,,16,,,4,,0,,,7,16,,,,3,52,,10,,0,3.0,,8.0,,,,3.0,,,,,,
Clerkenwell Road (West),2154.875,241.75,2396.625,51.5222968,-0.1057193,POINT (-0.1057193 51.5222968),E01002724,Islington 022D,44,2,0,0,13,18,10,14,31,,,,,47,,,,,,,,,,12,,,,,,,,,,3,,,,,,10,,,,,2,,,7,,,,,,,,,,,,0,,11,7,,10,24,,,,,0,,,,60,,,16,,,4,,0,,,7,16,,,,3,52,,10,,0,3.0,,8.0,,,,3.0,,,,,,
Constitution Hill,1804.125,385.0,2189.125,51.502313,-0.1457407,POINT (-0.1457407 51.502313),E01004736,Westminster 018C,12,1,0,0,49,6,4,15,36,,,,,0,,,,,,,,,,5,,,,,,,,,,19,,,,,,9,,,,,0,,,2,,,,,,,,,,,,3,,4,11,,15,12,,,,,0,,,,60,,,8,,,9,,0,,,4,9,,,,0,34,,2,,0,,,,,,,,,,,,,
Crucifix Lane/Druid Street,133.75,14.5,148.25,51.5021863,-0.0801087,POINT (-0.0801087 51.5021863),E01004027,Southwark 003E,8,0,2,2,22,14,15,13,36,,,,,27,,,,,,,,,,12,,,,,,,,,,0,,,,,,11,,,,,1,,,4,,,,,,,,,,,,1,,9,1,,6,15,,,,,2,,,,60,,,8,,,2,,0,,,4,15,,,,2,38,,1,,0,,,3.0,,,,,,,,,,
Devonshire Street,259.125,39.5,298.625,51.5217771,-0.1474986,POINT (-0.1474986 51.5217771),E01004713,Westminster 011A,49,1,0,1,27,8,9,14,28,,,,,16,,,,,,,,,,0,,,,,,,,,,12,,,,,,18,,,,,5,,,6,,,,,,,,,,,,2,,7,6,,14,27,,,,,1,,,,40,,,29,,,3,,1,,,7,13,,,,2,19,,10,,0,6.0,,26.0,,,,,,,,,,
Drury Lane,383.0,56.25,439.25,51.5143917,-0.1216506,POINT (-0.1216506 51.5143917),E01004735,Westminster 018B,54,2,0,1,35,15,30,27,60,,,,,35,,,,,,,,,,1,,,,,,,,,,10,,,,,,13,,,,,1,,,4,,,,,,,,,,,,19,,13,12,,9,27,,,,,3,,,,60,,,31,,,10,,0,,,7,16,,,,4,50,,5,,0,2.0,,12.0,,,,,,,,,,
Eagle Street,53.5,3.0,56.5,51.5186422,-0.1179368,POINT (-0.1179368 51.5186422),E01000914,Camden 028B,51,1,0,1,27,17,17,16,32,,,,,40,,,,,,,,,,2,,,,,,,,,,5,,,,,,14,,,,,6,,,6,,,,,,,,,,,,7,,13,7,,9,30,,,,,2,,,,60,,,32,,,14,,0,,,6,14,,,,3,48,,9,,0,10.0,,20.0,,,,,,,,,,
Eastcheap,802.375,119.375,921.75,51.510721,-0.0845116,POINT (-0.0845116 51.510721),E01032739,City of London 001F,60,0,2,0,9,18,14,60,40,,,,,40,,,,,,,,,,38,,,,,,,,,,1,,,,,,31,,,,,0,,,1,,,,,,,,,,,,2,,7,12,,3,11,,,,,3,,,,60,,,7,,,8,,0,,,13,19,,,,8,51,,5,,0,18.0,,12.0,,1.0,,1.0,,,,,,
Emery Hill Street,148.125,33.125,181.25,51.4950784,-0.1370146,POINT (-0.1370146 51.4950784),E01004744,Westminster 020D,16,1,0,0,10,14,12,17,27,,,,,40,,,,,,,,,,5,,,,,,,,,,13,,,,,,10,,,,,0,,,9,,,,,,,,,,,,2,,5,1,,6,24,,,,,2,,,,20,,,20,,,9,,1,,,5,18,,,,4,57,,1,,0,,,21.0,,,,1.0,,,,,,
Farringdon Road (near station),2257.625,180.625,2438.25,51.5230636,-0.1079118,POINT (-0.1079118 51.5230636),E01002724,Islington 022D,39,1,0,0,14,18,10,11,31,,,,,47,,,,,,,,,,10,,,,,,,,,,3,,,,,,11,,,,,2,,,7,,,,,,,,,,,,0,,10,7,,10,25,,,,,2,,,,60,,,18,,,3,,0,,,7,16,,,,3,50,,10,,0,21.0,2.0,2.0,,,,1.0,,,,,,
Farringdon Street,3289.5,384.625,3674.125,51.5230636,-0.1079118,POINT (-0.1079118 51.5230636),E01002724,Islington 022D,39,1,0,0,14,18,10,11,31,,,,,47,,,,,,,,,,10,,,,,,,,,,3,,,,,,11,,,,,2,,,7,,,,,,,,,,,,0,,10,7,,10,25,,,,,2,,,,60,,,18,,,3,,0,,,7,16,,,,3,50,,10,,0,,,14.0,,,,2.0,2.0,,,,,
Fetter Lane,577.25,75.875,653.125,51.5160581,-0.1092154,POINT (-0.1092154 51.5160581),E01032740,City of London 001G,48,2,0,0,13,15,7,20,45,,,,,32,,,,,,,,,,8,,,,,,,,,,5,,,,,,15,,,,,2,,,2,,,,,,,,,,,,2,,11,7,,8,17,,,,,2,,,,60,,,18,,,4,,0,,,7,16,,,,8,39,,6,,0,6.0,,3.0,,,,,,,,1.0,1.0,
Fitzroy Street,239.25,41.125,280.375,51.5228485,-0.13922,POINT (-0.13922 51.5228485),E01000854,Camden 026D,47,1,0,1,33,9,10,25,32,,,,,32,,,,,,,,,,0,,,,,,,,,,7,,,,,,16,,,,,5,,,5,,,,,,,,,,,,4,,9,5,,6,0,,,,,3,,,,60,,,14,,,3,,1,,,7,16,,,,4,37,,13,,0,2.0,,16.0,,,,1.0,2.0,,,,,
Fleet Street,925.625,122.75,1048.375,51.5142243,-0.1079636,POINT (-0.1079636 51.5142243),E01032740,City of London 001G,39,2,0,0,14,15,7,20,37,,,,,18,,,,,,,,,,10,,,,,,,,,,4,,,,,,12,,,,,1,,,1,,,,,,,,,,,,2,,9,7,,7,13,,,,,2,,,,60,,,10,,,5,,0,,,8,13,,,,10,36,,4,,0,6.0,,5.0,2.0,1.0,,3.0,2.0,,,,,
Garrick Street,266.5,75.125,341.625,51.511589,-0.1262425,POINT (-0.1262425 51.511589),E01004735,Westminster 018B,53,1,1,2,40,18,33,30,60,,,,,40,,,,,,,,,,1,,,,,,,,,,16,,,,,,16,,,,,0,,,2,,,,,,,,,,,,27,,12,31,,5,21,,,,,5,,,,60,,,27,,,14,,0,,,7,24,,,,6,52,,2,,0,15.0,,22.0,1.0,,,3.0,,,,,,
Golden Lane,394.0,96.625,490.75,51.5224052,-0.0946565,POINT (-0.0946565 51.5224052),E01002706,Islington 023E,57,2,0,0,11,20,4,20,37,,,,,32,,,,,,,,,,16,,,,,,,,,,2,,,,,,0,,,,,1,,,8,,,,,,,,,,,,4,,10,8,,9,25,,,,,4,,,,60,,,18,,,4,,0,,,8,21,,,,6,38,,3,,0,,,,,,,,,,,,,
Gordon Square,385.125,49.0,434.125,51.524466,-0.1304071,POINT (-0.1304071 51.524466),E01000852,Camden 026C,26,1,0,0,26,8,9,19,27,,,,,33,,,,,,,,,,1,,,,,,,,,,4,,,,,,7,,,,,4,,,8,,,,,,,,,,,,5,,11,2,,10,18,,,,,2,,,,60,,,12,,,4,,1,,,9,19,,,,7,38,,12,,0,,,21.0,,,,1.0,,,,,,
Goswell Road (north),611.25,86.5,697.75,51.5269301,-0.1002733,POINT (-0.1002733 51.5269301),E01002703,Islington 023C,31,2,0,0,19,15,9,0,19,,,,,36,,,,,,,,,,7,,,,,,,,,,2,,,,,,13,,,,,0,,,10,,,,,,,,,,,,1,,2,3,,13,19,,,,,3,,,,58,,,25,,,3,,0,,,2,18,,,,0,39,,3,,0,6.0,,20.0,,1.0,,1.0,,,,,,
Goswell Road (south),838.625,125.125,963.75,51.5269301,-0.1002733,POINT (-0.1002733 51.5269301),E01002703,Islington 023C,31,2,0,0,19,15,9,0,19,,,,,36,,,,,,,,,,7,,,,,,,,,,2,,,,,,13,,,,,0,,,10,,,,,,,,,,,,1,,2,3,,13,19,,,,,3,,,,58,,,25,,,3,,0,,,2,18,,,,0,39,,3,,0,1.0,,7.0,,,,1.0,,,,,,
Gracechurch Street,2120.875,191.875,2312.75,51.5119496,-0.0850996,POINT (-0.0850996 51.5119496),E01032739,City of London 001F,58,0,0,0,8,20,13,60,60,,,,,40,,,,,,,,,,39,,,,,,,,,,1,,,,,,31,,,,,0,,,2,,,,,,,,,,,,2,,5,12,,2,15,,,,,5,,,,60,,,10,,,11,,0,,,13,16,,,,8,54,,6,,0,20.0,,2.0,,4.0,,,5.0,2.0,,,,
Grays Inn Road (north),752.375,127.75,880.125,51.5247591,-0.1163392,POINT (-0.1163392 51.5247591),E01000936,Camden 024A,31,0,0,0,21,13,10,9,29,,,,,36,,,,,,,,,,2,,,,,,,,,,4,,,,,,7,,,,,7,,,7,,,,,,,,,,,,2,,6,4,,12,24,,,,,2,,,,60,,,15,,,6,,0,,,7,15,,,,5,51,,7,,0,4.0,,6.0,,2.0,,,,1.0,,,1.0,
Grays Inn Road (south),1068.375,123.75,1192.125,51.5247591,-0.1163392,POINT (-0.1163392 51.5247591),E01000936,Camden 024A,31,0,0,0,21,13,10,9,29,,,,,36,,,,,,,,,,2,,,,,,,,,,4,,,,,,7,,,,,7,,,7,,,,,,,,,,,,2,,6,4,,12,24,,,,,2,,,,60,,,15,,,6,,0,,,7,15,,,,5,51,,7,,0,4.0,,6.0,,2.0,,,,1.0,,,1.0,
Great Dover Street,585.5,30.875,616.375,51.4977112,-0.0898965,POINT (-0.0898965 51.4977112),E01003936,Southwark 009A,12,1,2,2,19,20,4,12,20,,,,,18,,,,,,,,,,2,,,,,,,,,,0,,,,,,10,,,,,1,,,5,,,,,,,,,,,,1,,3,1,,15,15,,,,,2,,,,38,,,18,,,4,,0,,,2,18,,,,4,37,,2,,0,3.0,,8.0,,,,,,,,,,
Great Ormond Street,178.375,9.0,187.375,51.5220969,-0.1195671,POINT (-0.1195671 51.5220969),E01000915,Camden 027A,29,0,0,0,20,14,8,12,26,,,,,45,,,,,,,,,,2,,,,,,,,,,5,,,,,,10,,,,,7,,,9,,,,,,,,,,,,4,,11,4,,14,28,,,,,2,,,,60,,,19,,,6,,0,,,5,12,,,,1,49,,11,,0,2.0,,23.0,,1.0,,1.0,,,,,,
Great Queen Street,766.125,94.5,860.625,51.5155611,-0.1209983,POINT (-0.1209983 51.5155611),E01000918,Camden 028C,53,2,0,1,33,14,19,24,60,,,,,37,,,,,,,,,,1,,,,,,,,,,8,,,,,,12,,,,,3,,,5,,,,,,,,,,,,16,,14,12,,9,24,,,,,3,,,,60,,,32,,,10,,0,,,6,14,,,,3,40,,8,,0,10.0,,13.0,,,,1.0,,1.0,,,,
